Homicidios,Lesiones,Secuestros,Abuso_sexual,Violencia_familiar,Anio,CVE_ENT
211,3429,58,407,483,2015,1
1219,15325,814,2751,8892,2015,2
201,1565,33,314,1691,2015,3
118,191,13,97,18,2015,4
535,5832,46,538,2154,2015,5
222,294,9,55,549,2015,6
1552,1456,74,266,1251,2015,7
1286,4872,617,2239,12273,2015,8
1585,11262,742,2398,16103,2015,9
494,3921,89,659,3521,2015,10
2398,10657,26,1941,10298,2015,11
2721,3529,331,665,2022,2015,12
651,3693,819,712,2294,2015,13
1736,11285,439,2257,8543,2015,14
2957,38326,834,2741,4114,2015,15
2044,4330,312,667,921,2015,16
851,4686,273,969,4034,2015,17
147,703,33,256,298,2015,18
988,8261,2282,2167,17062,2015,19
416,744,115,201,618,2015,20
1206,9068,1017,1433,5024,2015,21
447,3345,52,649,942,2015,22
571,3647,75,1031,3058,2015,23
392,2723,230,655,2924,2015,24
1404,3279,623,488,2387,2015,25
983,2393,203,529,2231,2015,26
685,5844,412,603,4230,2015,27
1383,5029,1049,998,2394,2015,28
323,952,8,79,24,2015,29
1008,5140,376,559,3572,2015,30
104,4048,87,682,2158,2015,31
357,1898,182,350,735,2015,32
233,2771,25,397,645,2016,1
1505,12394,609,2532,8315,2016,2
272,1983,78,458,2099,2016,3
166,181,7,208,43,2016,4
475,5665,88,885,6885,2016,5
597,248,23,136,203,2016,6
1480,1818,129,1128,1964,2016,7
1547,4362,579,2171,11961,2016,8
1594,10668,754,2640,18426,2016,9
464,4714,78,716,5272,2016,10
2572,10763,15,1606,11133,2016,11
2844,3674,326,577,2183,2016,12
654,4337,1394,920,3078,2016,13
2027,13310,535,3402,11422,2016,14
2810,38833,1456,3876,5161,2016,15
2370,4789,279,602,787,2016,16
833,4962,268,958,4516,2016,17
84,304,10,163,476,2016,18
1171,8507,2470,2309,17773,2016,19
1541,4440,175,984,3353,2016,20
1206,5472,768,1322,5586,2016,21
422,4356,38,713,965,2016,22
278,1866,171,675,1524,2016,23
500,4180,307,751,3930,2016,24
1516,2145,811,508,2371,2016,25
1068,3405,376,811,3595,2016,26
699,6031,562,821,5406,2016,27
1514,4291,757,1065,6378,2016,28
363,292,5,66,6,2016,29
1817,4241,456,620,4771,2016,30
110,3683,135,684,2270,2016,31
609,1811,279,388,1075,2016,32
258,4252,164,541,1102,2017,1
2429,11208,592,2495,8554,2017,2
693,1957,169,458,1982,2017,3
142,179,12,213,65,2017,4
476,5609,28,1029,8968,2017,5
789,1796,87,358,2299,2017,6
1353,1983,137,1234,3506,2017,7
1908,4778,687,2415,11583,2017,8
1816,11273,936,2051,18360,2017,9
441,4894,95,655,5196,2017,10
3366,11807,14,1510,11253,2017,11
2868,3378,294,566,2696,2017,12
700,6184,1817,1094,4417,2017,13
2108,13671,514,3246,9524,2017,14
3048,47145,1881,3954,6662,2017,15
2246,6539,416,693,1158,2017,16
828,4645,298,1046,5069,2017,17
289,159,120,140,432,2017,18
1099,8826,2435,2331,17145,2017,19
1644,4432,278,886,4156,2017,20
1647,2643,672,1252,6327,2017,21
472,5527,55,826,1186,2017,22
497,2131,424,656,2633,2017,23
712,4331,443,1052,5723,2017,24
1839,2132,1070,420,2612,2017,25
1149,2270,345,663,2428,2017,26
888,5837,632,1108,6596,2017,27
1620,4065,1211,1111,7030,2017,28
319,311,28,82,24,2017,29
2306,5389,621,1036,3935,2017,30
85,1792,38,669,2670,2017,31
690,1735,376,368,1610,2017,32
217,3803,117,506,1160,2018,1
2305,7595,499,2011,7638,2018,2
201,1415,92,360,1546,2018,3
114,145,15,168,43,2018,4
365,4553,30,910,7706,2018,5
535,1273,115,290,1915,2018,6
967,1711,166,1048,4755,2018,7
1635,3702,504,2136,8922,2018,8
1367,8462,710,2288,15108,2018,9
314,2927,246,529,4468,2018,10
3208,10333,11,1289,7940,2018,11
2092,2340,206,367,2117,2018,12
534,5439,1483,976,3899,2018,13
2011,9301,425,2239,7061,2018,14
2199,29560,1271,3131,4746,2018,15
1660,5508,364,583,1038,2018,16
729,3498,182,810,3911,2018,17
367,158,178,123,293,2018,18
888,5773,1807,2230,12893,2018,19
1313,4497,215,989,4294,2018,20
1466,2012,553,1264,5522,2018,21
373,4510,26,688,1392,2018,22
691,2343,418,513,3027,2018,23
693,2659,378,849,4628,2018,24
1228,1892,1030,466,2807,2018,25
871,994,159,388,1663,2018,26
727,3357,390,838,4953,2018,27
1265,2840,717,1006,5432,2018,28
134,248,78,203,130,2018,29
1520,3868,494,785,2502,2018,30
70,364,3,299,1468,2018,31
503,1377,242,341,1596,2018,32